8,-1,2.694e+05
8,-1,1.1341e+05
8,-1,68378
8,-1,2.7169e+05
8,-1,1.1556e+05
8,-1,69954
8,-1,2.7226e+05
8,-1,1.161e+05
8,-1,70350
8,-1,2.1431e+05
8,-1,1.4772e+05
8,-1,1.106e+05
8,-1,2.1368e+05
8,-1,1.5164e+05
8,-1,1.1524e+05
8,-1,2.1358e+05
8,-1,1.5261e+05
8,-1,1.1641e+05
8,-1,1.529e+05
8,-1,1.3211e+05
8,-1,1.0994e+05
8,-1,1.3393e+05
8,-1,1.2384e+05
8,-1,1.0917e+05
8,-1,1.303e+05
8,-1,1.2202e+05
8,-1,1.0903e+05
8,-1,1.3604e+05
8,-1,1.2181e+05
8,-1,1.0326e+05
8,-1,94699
8,-1,93141
8,-1,87366
8,-1,86711
8,-1,86112
8,-1,82816
